iter	Passed	Remaining
0	79	7904
1	87	4305
2	92	2997
3	97	2341
4	100	1915
5	103	1628
6	106	1413
7	109	1253
8	111	1128
9	114	1027
10	116	943
11	119	874
12	121	815
13	125	769
14	127	724
15	130	684
16	133	650
17	135	618
18	138	589
19	140	562
20	143	539
21	145	516
22	148	496
23	150	477
24	153	460
25	156	446
26	159	431
27	162	416
28	164	403
29	167	390
30	169	378
31	172	366
32	175	355
33	177	344
34	180	335
35	183	325
36	185	316
37	189	308
38	191	299
39	194	291
40	196	282
41	199	274
42	201	267
43	204	259
44	206	252
45	208	245
46	211	238
47	214	231
48	216	225
49	219	219
50	222	213
51	224	207
52	227	201
53	230	195
54	232	190
55	234	184
56	237	178
57	239	173
58	242	168
59	244	163
60	247	157
61	249	152
62	252	148
63	255	143
64	257	138
65	260	133
66	262	129
67	265	124
68	267	120
69	270	115
70	273	111
71	275	107
72	278	102
73	280	98
74	283	94
75	286	90
76	288	86
77	291	82
78	293	78
79	296	74
80	299	70
81	301	66
82	304	62
83	306	58
84	309	54
85	311	50
86	314	47
87	317	43
88	319	39
89	322	35
90	324	32
91	327	28
92	329	24
93	332	21
94	335	17
95	337	14
96	340	10
97	342	6
98	344	3
99	347	0
